id,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
22,"Carrer de Mozart, 18, Vila de Gràcia",1,Attic,Flat,3.0,2020-12-14,0,1,False,41.3994,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-se-aceptan-mascotas/158208103/d,2.15823,500.0,WWW.PISOS.CC,920050253918,0,23,la vila de gràcia,15.09676059493889
23,"Pau Claris, Dreta de l'Eixample",1,Flat,Flat,3.0,2020-12-14,0,0,False,41.3894,/es/alquiler/vivienda/barcelona-capital/amueblado/157873832/d,2.171697,500.0,ALL4FLAT,9202762177806,1,23,la dreta de l'eixample,14.399608832391861
24,"Tamarit, Sant Antoni",1,Study,Flat,2.0,2020-12-14,60,1,False,41.37612,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/157976833/d,2.157539,500.0,SOMOSCASA,9202752737168,0,28,sant antoni,13.848563622132446
25,"Carrer D'astúries, Vila de Gràcia",1,Loft,Flat,2.0,2020-12-14,0,1,False,41.40339,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-no-amueblado/158122051/d,2.153887,500.0,FINQUES QUEROL,9202752946929,1,30,la vila de gràcia,15.09676059493889
26,"Carrer del Consell de Cent, 432, Dreta de l'Eixample",1,Study,Flat,1.0,2020-12-14,0,1,False,41.39793,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-parking-television/158022044/d,2.17499,500.0,Cases Finques,9202764032870,1,18,la dreta de l'eixample,14.399608832391861
27,"Carrer de Viladomat, La Nova Esquerra de l'Eixample",1,Flat,Flat,1.0,2020-12-14,90,1,False,41.389759999999995,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/156636816/d,2.14404,500.0,SOMOSCASA,9202752737168,1,30,la nova esquerra de l'eixample,14.521146251476097
28,"Del Paral·lel, El Raval",1,Study,Flat,,2020-12-14,0,1,False,41.37523,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/158211334/d,2.17175,500.0,PRONTOPISO,9202759204462,0,33,el raval,14.323614132049757
29,"Carrer del Putget, El Putget i el Farró",1,Apartment,Flat,,2020-12-14,90,1,False,41.40682,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/156768253/d,2.143935,500.0,Compraventabarcelona by Fincas Gonseni,9202752580661,0,26,el putxet i el farró,15.027643645449707
30,"Carrer de Pau Claris, 87, Dreta de l'Eixample",1,Flat,Flat,,2020-12-14,0,0,False,41.39002,/es/alquiler/vivienda/barcelona-capital/patio-amueblado-television-internet/158199571/d,2.1705099999999997,500.0,marisa,9202758246048,1,25,la dreta de l'eixample,14.399608832391861
31,"Carrer Florència, El Guinardó",2,Flat,Flat,,2020-12-14,0,0,False,41.41941,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-internet/158155749/d,2.1692240000000003,500.0,BARCELONA INMUEBLES,9202762756315,3,20,el guinardó,12.91937086118691
