,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
1855,"Passeig Marítim de la Barceloneta, La Barceloneta",1,Flat,Flat,0,2020-10-28,100,0,False,/es/alquiler/vivienda/barcelona-capital/la-barceloneta/157054556/d,700.0,RC5 BARCELONA,9202751782982,2,38,la barceloneta,895.8970389610392
1856,"Carrer Canigo, Horta",1,Flat,Flat,0,2020-10-28,45,0,False,/es/alquiler/vivienda/barcelona-capital/horta/157095666/d,750.0,Home Global,9202765125651,2,50,horta,782.93826709062
1857,"Carrer del Mar, La Barceloneta",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157654164/d,650.0,jaume camprecios,9202752606269,1,35,la barceloneta,895.8970389610392
1858,"De la Nació, El Camp de l'Arpa del Clot",0,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/el-camp-de-l'arpa-del-clot/157654137/d,750.0,BARCELONA DREAM HOUSE,9202765563580,1,45,el camp de l'arpa del clot,855.9956912442399
1859,Barri de les Corts,2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/157629139/d,1150.0,TPC GESTION,9202753016792,0,110,les corts,1097.2385437589671
1860,"Carrer de Roger de Flor, 57, Fort Pienc",2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-parking-se-aceptan-mascotas-internet-no-amueblado/157654070/d,1450.0,ASSESORS QR,9202763950832,3,117,el fort pienc,1012.4123601398601
1861,"Carrer de Provença, Dreta de l'Eixample",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/157654038/d,1200.0,CONDAL PROPERTIES,9202762555280,3,85,la dreta de l'eixample,1307.6168415984594
1862,"Avinguda Meridiana, 320, La Sagrera",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-patio-amueblado/156243769/d,850.0,CARULLA & DIAZ,9202754423863,3,55,la sagrera,817.3483142857145
1863,"Carrer de Vallseca, 21, Can Baró",2,Flat,Flat,1,2020-10-28,210,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/156308790/d,1050.0,FINQUES APARICI,943003004231,2,85,can baró,769.0615849056604
1864,"Marina, El Parc i la Llacuna del Poblenou",2,Flat,Flat,0,2020-10-28,275,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor/156395239/d,1025.0,Forcadell Res.Lloguers,9202753948202,4,75,el parc i la llacuna del poblenou,1014.724459770115
1865,"Cardenal Tedeschini, La Sagrera",1,Flat,Flat,0,2020-10-28,30,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor/157164147/d,770.0,CARULLA & DIAZ,9202754423863,2,56,la sagrera,817.3483142857145
1866,"Carrer de Duran I Borrell, El Coll",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/el-coll/157255808/d,495.0,NACIONAL HOGAR,9202751160664,0,30,el coll,801.9835046728972
1867,Sant Gervasi- Galvany,2,Flat,Flat,0,2020-10-28,90,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157270964/d,1500.0,TORIL MOLLER,9202761302163,2,100,sant gervasi - galvany,1397.2730045095827
1868,Barri Gòtic,0,Flat,Flat,0,2020-10-28,0,1,True,/es/alquiler/vivienda/obra-nueva/barcelona-capital/19616158/156132011,2093.0,NÚÑEZ I NAVARRO,9202752272449,2,75,el barri gòtic,1097.2901235955055
1869,Dreta de l'Eixample,3,Apartment,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157396703/d,1800.0,ENGEL & VOELKERS,9202758116439,3,100,la dreta de l'eixample,1307.6168415984594
1870,La Nova Esquerra de l'Eixample,2,Flat,Flat,1,2020-10-28,300,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155913589/d,2000.0,ENGEL & VOELKERS,9202758116439,4,146,la nova esquerra de l'eixample,1053.832392665474
1871,Les Tres Torres,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado-se-aceptan-mascotas/157177014/d,1600.0,ENGEL & VOELKERS,9202758116439,2,65,les tres torres,1657.0264460784313
1872,Sant Antoni,3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157403229/d,1200.0,ENGEL & VOELKERS,9202758116439,0,80,sant antoni,994.909158040028
1873,Sant Gervasi- Galvany,4,Attic,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-no-amueblado/157176631/d,5000.0,ENGEL & VOELKERS,9202758116439,5,288,sant gervasi - galvany,1397.2730045095827
1874,Dreta de l'Eixample,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155877936/d,1700.0,ENGEL & VOELKERS,9202758116439,3,100,la dreta de l'eixample,1307.6168415984594
1875,"Sant Pere, Sta. Caterina i la Ribera",1,Apartment,Flat,0,2020-10-28,150,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-amueblado/157290289/d,1250.0,LUCAS FOX,9202751825893,2,76,"sant pere, santa caterina i la ribera",996.3534925373137
1876,Dreta de l'Eixample,3,Attic,Flat,1,2020-10-28,725,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-no-amueblado/155924196/d,3475.0,ENGEL & VOELKERS,9202758116439,3,124,la dreta de l'eixample,1307.6168415984594
1877,Sant Gervasi- Galvany,1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157197329/d,1150.0,ENGEL & VOELKERS,9202758116439,2,62,sant gervasi - galvany,1397.2730045095827
1878,"Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157409749/d,1100.0,ENGEL & VOELKERS,9202758116439,1,54,"sant pere, santa caterina i la ribera",996.3534925373137
1879,Dreta de l'Eixample,2,Flat,Flat,2,2020-10-28,100,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/156359727/d,1750.0,ENGEL & VOELKERS,9202758116439,3,115,la dreta de l'eixample,1307.6168415984594
1880,Dreta de l'Eixample,2,Attic,Flat,2,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado/157031780/d,1250.0,ENGEL & VOELKERS,9202758116439,2,88,la dreta de l'eixample,1307.6168415984594
1881,Vila de Gràcia,0,Flat,Flat,0,2020-10-28,0,1,True,/es/alquiler/vivienda/obra-nueva/barcelona-capital/19609188/155697482,1935.0,NÚÑEZ I NAVARRO,9202752272449,0,59,la vila de gràcia,962.9541871737514
1882,Barri Gòtic,2,Apartment,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado/155791346/d,2300.0,ENGEL & VOELKERS,9202758116439,3,160,el barri gòtic,1097.2901235955055
1883,Sant Gervasi- Galvany,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/156359293/d,1800.0,ENGEL & VOELKERS,9202758116439,2,158,sant gervasi - galvany,1397.2730045095827
1884,"Carrer D'anglesola, Barri de les Corts",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/157564843/d,1400.0,FUJI INMOBILIARIA,9202765616371,2,71,les corts,1097.2385437589671
1885,"Travessera de Gràcia, Vila de Gràcia",1,Flat,Flat,2,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-se-aceptan-mascotas-internet/157567934/d,1200.0,Jorge Ruiz,9202764997958,2,72,la vila de gràcia,962.9541871737514
1886,Sarrià,0,Flat,Flat,0,2020-10-28,0,1,True,/es/alquiler/vivienda/obra-nueva/barcelona-capital/19611056/155893781,3460.0,NÚÑEZ I NAVARRO,9202752272449,4,129,sarrià,1375.1032360406089
1887,Les Tres Torres,2,Attic,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-no-amueblado/155257621/d,4800.0,ENGEL & VOELKERS,9202758116439,3,209,les tres torres,1657.0264460784313
1888,Dreta de l'Eixample,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/157414053/d,1650.0,ENGEL & VOELKERS,9202758116439,2,94,la dreta de l'eixample,1307.6168415984594
1889,Sant Gervasi- Galvany,3,Apartment,Flat,0,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-parking-no-amueblado/156915839/d,3400.0,LUCAS FOX,9202751825893,4,180,sant gervasi - galvany,1397.2730045095827
1890,El Putget i el Farró,1,Flat,Flat,1,2020-10-28,100,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/157397400/d,1100.0,ENGEL & VOELKERS,9202758116439,1,46,el putxet i el farró,1086.4194394618835
1891,El Putget i el Farró,1,Flat,Flat,2,2020-10-28,250,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157178730/d,950.0,ENGEL & VOELKERS,9202758116439,3,71,el putxet i el farró,1086.4194394618835
1892,La Barceloneta,3,Attic,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-piscina-amueblado/156916141/d,4500.0,LUCAS FOX,9202751825893,3,140,la barceloneta,895.8970389610392
1893,L'Antiga Esquerra de l'Eixample,2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/157396730/d,1700.0,ENGEL & VOELKERS,9202758116439,2,105,l'antiga esquerra de l'eixample,1162.3216295594511
1894,El Raval,1,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157498886/d,1100.0,ENGEL & VOELKERS,9202758116439,1,70,el raval,850.1123431829961
1895,"Travessera de Gràcia, Sant Gervasi- Galvany",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/157271298/d,3000.0,SALARICH,9202751180564,3,106,sant gervasi - galvany,1397.2730045095827
1896,"Carrer del Comte de Güell, La Maternitat i Sant Ramon",1,Flat,Flat,0,2020-10-28,60,0,False,/es/alquiler/vivienda/barcelona-capital/amueblado/156548092/d,590.0,"FINQUES AGUSTI, S.L.",943003062550,0,38,la maternitat i sant ramon,1009.2089093702002
1897,El Raval,1,Flat,Flat,2,2020-10-28,100,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-no-amueblado/155753775/d,1100.0,ENGEL & VOELKERS,9202758116439,3,61,el raval,850.1123431829961
1898,"Sant Pere, Sta. Caterina i la Ribera",1,Flat,Flat,2,2020-10-28,100,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/156517224/d,1050.0,ENGEL & VOELKERS,9202758116439,3,70,"sant pere, santa caterina i la ribera",996.3534925373137
